"image","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"beans",-0.590325380807261,0.0793510807169908,-0.0971668449596422,-0.00906570450245472,-0.108821159623226,0.100846272049717,-0.0848847623417503,0.0709271853801504,0.233836941942707,-0.0131520642934062
"beef",-0.615542442010364,0.344498667888104,0.0272940788233896,-0.0944356736285246,-0.24172388536157,-0.00746876637906113,0.131180815330871,0.0745718060992323,0.0254415128828249,0.258692317119453
"beefwrap",-0.410285767491378,0.101626698741278,0.0453793000060898,0.171947958215524,0.0106764560371431,-0.119482347989648,-0.0508206176720659,-0.306121304158088,0.199802445781458,0.101062670467333
"beetroot",-0.606769863580695,0.0580312839786469,-0.209407536887336,-0.0297894974666698,-0.0254459168662673,0.148661005745126,0.0180603009550542,0.0521720120884749,0.0472784123735499,-0.136447640585938
"berries",-0.577253573856842,-0.333047211095304,-0.367418223522636,-0.0850107153497761,0.0126179891031784,0.0522971676891991,-0.185626855853832,-0.0917151645064075,-0.0253668101247848,0.119285613963181
"berry",-0.518107962111066,-0.314812504029803,-0.259466524224502,-0.0781322117085604,0.107855042698696,-0.160700203581178,-0.00914037520786611,-0.0367952158647359,-0.0204887390235653,0.0188259244623469
"berrysmoothie",-0.358414588439764,0.00904884326414305,0.059656207056617,0.121706066143545,0.107214906866142,-0.108733960058024,-0.0417677687633205,-0.213823973373538,0.172647552225604,0.0593541052989115
"beverage",-0.425085803239784,-0.294479829361869,-0.08386135262348,-0.156884197861588,0.1144370308682,-0.279324519046109,0.368123038731783,0.140045840076991,-0.0169698370000701,0.0221971198680486
"bibimbap",-0.491046600760695,0.152813549886646,-0.0216389923738906,0.291632121117405,0.0501755193467419,-0.0470724537806854,0.0978665920758566,0.14515642415087,-0.191939755479218,-0.0303698288959782
"biscuit",-0.55711175292307,-0.214665404766469,0.290188739743328,-0.0246675782493474,-0.100039564656365,-0.0861015669614065,0.121965301834691,0.0476955321728665,0.047513292113867,0.000506728202530966
"blackberries",-0.48099269611785,-0.263644682088368,-0.262508694148338,-0.0874682149241381,0.0129709458956545,0.00338325141326216,-0.226914347397903,-0.0519765474779494,-0.0221007858971494,0.099977136914701
"blt",-0.326812005152536,0.110191376132427,0.108653631487847,0.0138102184735621,-0.0578431199457662,-0.171188913729976,-0.00952744341150101,-0.0503033313947645,-0.199224735441771,-0.0786413897968205
"blueberries",-0.595646002631351,-0.312045650540391,-0.270554944811871,-0.0560272683121906,-0.0332623808645819,0.0398023369130031,-0.214310955610479,-0.057307647548272,-0.061096412611094,-0.0160775171002986
"blueberrymuffin",-0.324455371658584,0.0118990209202169,0.133571790072271,0.175648852355145,0.0378733545215546,-0.0271947871344642,-0.124431838804468,-0.354363013919274,0.111597670001083,0.0573871068721807
"bolognese",-0.566527579911749,0.235611161636408,0.165393484635025,-0.178013273263174,0.258561316634566,0.16002486853841,-0.139645220508383,0.230078894392679,-0.0732684106253937,0.105084044369052
"bread",-0.631471169069093,-0.093116829721694,0.23051385637672,-0.178848687091383,-0.153629317893094,0.00780263122427851,-0.0826327738235469,-0.0588545986755482,0.0407958184689167,-0.0659291474328103
