"image","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"beet",-0.554729445604521,0.120635330109407,0.255554932034663,0.092788940356019,0.0658922756447786,0.0709760213520938,-0.16289045834592,-0.0120260792672062,0.184844130847046,0.0913929407037777,0.00290952320079268,-0.0712044404962838
"beetroot",-0.656642876018571,0.0958622834440442,0.276502397664515,-0.105256862031253,-0.00540817116716676,0.073738277716682,-0.135714794549782,-0.0936682926765251,0.128735078154259,-0.0815815275159416,-0.00216377349915201,0.141573591399035
"belgian",-0.325742675291176,0.115417928989883,-0.106990153139761,-0.0201183234117156,0.0297129490956061,-0.055561407053115,-0.10698942404345,-0.0326615341627981,-0.0383929740729375,0.0164833107921928,-0.014099638164932,-0.0096513267129462
"belgianchocolates",-0.177806547156856,0.0315303708019073,0.050481012117254,0.0317344576753919,0.0227879486578707,0.00835092850724606,-0.0503597914958114,-0.0676577460182604,-0.034808696973811,0.06319049594911,0.110309758404576,-0.00862868179835548
"belgianwaffle",-0.120438109196445,0.0352090484929657,0.0292073265658509,0.000848654977354861,0.0675962692092954,-0.0345263009455209,0.0154508690185759,-0.0576939188996857,0.0527059088696886,0.0365709081746243,-0.0154811402570966,-0.0918704525836139
"bellpepper",-0.617157313862964,-0.0962607066660706,0.302875656587947,0.0563569640462279,-0.0145995848328499,-0.0557111432933579,0.0297776971602521,0.00685848808262538,0.0594707713556295,-0.0910610995234165,-0.124564435843756,0.0553463297955328
"bellpeppers",-0.584977601782829,-0.125127424366297,0.278560917616023,0.0816020925426278,-0.0941241527142682,0.00353360737714595,0.105649687621951,0.0118752758493647,0.0249373884138842,-0.16317289100652,-0.142686833015423,0.131166736026357
"berries",-0.585417647790063,0.43481541810884,0.214325006108663,0.0050284600345586,-0.134564986965602,0.222423622346219,0.0145879174982735,0.189729480661182,0.0726989947623496,-0.0406031065728119,0.0217156020191677,0.0302956576902125
"berriesandcream",-0.161277150285887,0.155771459959658,-0.0364083640413753,0.0472849423458483,0.0422463285436709,0.0591959843894348,-0.013873712358213,0.00252439113110709,0.00765366317254186,-0.0173043081926664,-0.0381444837311776,0.036271922162532
"berry",-0.538334810175721,0.47345553142631,0.105041264050935,-0.00819778761096888,0.187386135895878,0.0715151548271501,-0.160425579340519,0.135124702553366,0.162355154021732,0.0597839527747148,0.0571463261999168,-0.00885822805533884
"berrymuffins",-0.217032360263087,0.0732091802710514,0.118484744984203,-0.044539388589142,-0.00789710006836987,0.115853600424352,-0.0740688288002307,-0.0250444113316297,-0.0237976273396462,0.00897912814919792,0.0105982863197198,-0.0030198060255728
"berrysmoothie",-0.250340380017131,0.0268092771975926,0.0492256937889063,0.0702593945370853,0.0300523891818958,0.00572768973975683,-0.0202491144200768,0.00743402494846112,0.0507608848275124,0.111448990387832,0.0136054219088492,0.0184946557244497
"beverage",-0.36096495490201,0.0365362569496465,-0.178953545357396,0.168773590728493,0.167703784603638,0.0502558911421143,-0.0213624017760137,-0.0276612174208787,0.0425083064782098,0.0272876157921668,0.199231024591658,0.0740373720038719
"beverages",-0.377174081272952,-0.00115991634647365,-0.171794354940867,0.210078668585163,0.0234384899352584,0.1697811581812,0.0458230074459154,0.00867620680656095,-0.0564489444131282,-0.0660253092694425,0.247599421365889,0.157707650643308
"bibimbap",-0.506501652604369,-0.330655295478835,-0.131977369307859,-0.0321385810538716,0.196412065390092,0.110782546250298,0.101984252928307,-0.145181805710443,0.0943209262942587,-0.107567743744505,-0.113601689842371,-0.0248247647648043
"birthdaycake",-0.221382732624587,0.12002409553101,-0.16842403615868,0.0933533667512782,0.00110720975444803,0.0517232591987608,-0.0496080662099188,0.0626168014340719,-0.0358707785658149,0.0657783379906067,-0.040232317499454,-0.00311549920793343
"biryani",-0.512983768339864,-0.25050287175834,-0.143463289411508,-0.170345675038836,0.105646587305051,0.161430130108124,0.0593285294071378,-0.234838336691561,0.0965571046813784,-0.0890975754241383,0.0445480822269847,0.294828466073161
"biscuit",-0.585593013845447,0.175436780608408,-0.337178702383247,0.0326865182096128,-0.0523970756931762,-0.00774529968237853,-0.278630821433761,-0.188124954888179,-0.0290991063403689,0.0711752295505313,-0.0235841192219059,0.0594274919097177
"biscuits",-0.606840169406013,0.148167877950495,-0.297634648189202,0.0271694702182124,-0.2619977548872,0.113891513718044,-0.134364499561579,-0.150748588233102,-0.0867086093307598,-0.0354566730510999,-0.0110722331694757,0.172132884225306
"blackbeans",-0.627761554927891,-0.0824806254635593,0.168006675387683,0.100552145884963,-0.0924755509967485,0.0044181875094201,0.266954982583873,-0.00890933121233482,0.0613303244769731,-0.0143264334488407,-0.0473626041650706,-0.0313955053732597
"blackberries",-0.516579237393571,0.395164929252972,0.186471325410537,-0.0331741629362801,-0.102585002895847,0.149169235465768,0.0676239747410693,0.318314054135656,0.0115066703538171,-0.0386908891981499,-0.0295229234301151,0.0729664285865886
"blackberry",-0.435342535994648,0.374605632192365,0.0626762359924714,-0.10599193737341,0.152467795558107,-0.00626165462424201,-0.0790055900620481,0.19816869900055,0.0317744539439053,0.070962755008053,-0.00699602479093813,0.0470201660222354
"blackcoffee",-0.14529197359378,0.0495943029746858,-0.0130058199925882,0.11439828344484,0.019570256714871,0.0477394476854065,-0.0454218974566133,-0.0537984082626916,0.00568648984738723,0.0459812928889416,0.0684333717976452,-0.0875885017141889
"blackolives",-0.163381666502885,0.0554614422879497,-0.0528672128892745,0.0393306315613417,0.00537236094846413,-0.0276010341805934,-0.121955998951327,0.000459368016076035,0.00365836021904453,0.13085897607242,0.0424100102630367,0.0308713487916037
"blackpepper",-0.483772086760443,-0.0186631994106923,0.223075323726832,-0.0649728142801441,0.0899120380701554,-0.049421151691365,0.0124100310400387,-0.125442839708371,-0.230915593146854,0.0582293574420806,-0.104159672373707,0.162658260409966
"blacksesame",-0.241349524587915,0.0164594948886527,0.0569904301515816,-0.00193416648001947,0.0448250798780244,0.0475008634827326,-0.0821498554602951,-0.110046929482158,-0.0514144885511118,0.096499784263037,0.050464450337003,-0.0635695104827877
"blacksesameicecream",-0.286929061350259,0.0335415459202749,0.026012243557194,0.0251865174877121,0.115532441469616,-0.0450109823874878,-0.0570129566325217,-0.0939381216421406,-0.0460092440460987,0.0344056561401256,-0.00152034034565545,-0.0214350769232251
"blt",-0.350650854903223,-0.125663816726599,-0.0597697477663555,0.0840330088981501,0.0275206970418049,-0.214717575294655,-0.0119685310248374,0.0561376970933476,-0.0419171614204856,-0.0567421453905125,0.0050492587731148,-0.157004489807323
"blueberries",-0.622423588168143,0.388314821976001,0.158451751896243,0.117588746450595,-0.183940838658283,0.109288990654395,0.101662752278385,0.262981381149461,0.11783616958582,-0.051491290463485,-0.0410799501339529,-0.0630198538117231
"blueberry",-0.632314798041562,0.428299741114979,-0.0112983127161219,0.0543741708696076,0.132610544099704,-0.0618299390422019,-0.161764076188174,0.172058437116981,0.155281214016374,0.069608083341725,-0.0549123456852029,-0.0919789222096668
"blueberrycheesecake",-0.227881523074789,0.0568445897165732,-0.00843004369273302,0.0336335290862995,0.122036231500654,-0.0505226320408131,-0.0116903182815251,0.00848272228252611,0.00244158430317323,0.0813317557721392,0.0267788932131418,-0.0101364567344363
"blueberrycreamsicle",-0.254167431105549,0.0762066404569927,-0.0367207525723561,0.0864870742136653,0.0722944365965189,-0.0633933201285893,0.0365586237281829,0.0045702642999182,-0.0293953270594727,0.117054247467949,0.00678913575099375,0.0458978945766786
